,explicit_doi,bibref,retrieved_local_doi,retrieved_remote_doi,manual_doi,local_score
0,,"Mendoza, L, Vilela, R, Voelz, K, Ibrahim, AS, Voigt, K, Lee, SC. Human fungal pathogens of mucorales and entomophthorales, Cold Spring Harb Perspect Med, 2015, 5, pii: a019562 doi: 10.1101/cshperspect.a019562",10.1101/cshperspect.a019562,10.1101/cshperspect.a019562,10.1101/cshperspect.a019562,72.662285
1,,"Prabhu, RM, and Patel, R. Mucormycosis and entomophthoramycosis: A review of the clinical manifestations, diagnosis and treatment, Clin Microbiol Infect, 2004, 10, 31, 47, PMID: 14748801",10.1111/j.1470-9465.2004.00843.x,10.1111/j.1470-9465.2004.00843.x,10.1111/j.1470-9465.2004.00843.x,42.04508
4,,"Bittencourt, AL, Marback, R, Nossa, LMB. Mucocutaneous entomoptharomycosis acquired by conjunctival inoculation of the fungus, Am J Trop Med Hyg, 2006, 75, 936, 8, PMID: 17123991",10.4269/ajtmh.2006.75.936,10.4269/ajtmh.2006.75.936,10.4269/ajtmh.2006.75.936,45.697792
5,10.1128/cmr.18.3.556-569.2005,"Spellberg, B, Edwards, J, Jr, Ibrahim, A. Novel perspectives on mucormycosis: Pathophysiology, presentation, and management, Clin Microbiol Rev, 2005, 18, 556, 69, PMID: 16020690",10.1128/cmr.18.3.556-569.2005,10.1128/cmr.18.3.556-569.2005,10.1128/cmr.18.3.556-569.2005,40.40983
6,10.1371/journal.pntd.0003984,"Blumentrath, CG, Grobusch, MP, Matsiégui, PB, Pahlke, F, Zoleko-Manego, R, Nzenze-Aféne, S. Classification of rhinoentomophthoromycosis into atypical, early, intermediate, and late disease: A proposal, PLoS Negl Trop Dis, 2015, 9, e0003984, PMID: 26426120",10.1371/journal.pntd.0003984,10.1371/journal.pntd.0003984,10.1371/journal.pntd.0003984,81.46619
7,,"Gugnani, HC. Entomophthoromycosis due to conidiobolus, Eur J Epidemiol, 1992, 8, 391, 6, PMID: 1397203",10.1007/bf00158574,10.1007/bf00158574,10.1007/bf00158574,41.15529
11,10.1037/0033-2909.133.3.482,"Levin, R, Nielsen, T.A. Disturbed dreaming, posttraumatic stress disorder, and affect distress: A review and neurocognitive model, Psychol. Bull, 2007, 133, 482, 528, DOI: 10.1037/0033-2909.133.3.482, PMID: 17469988",10.1037/0033-2909.133.3.482,10.1037/0033-2909.133.3.482,10.1037/0033-2909.133.3.482,61.801704
12,,"Schredl, M. Researching Dreams: The Fundamentals, 1st ed, Palgrave Macmillan, Cham, Switzerland, 2018",10.1007/978-3-319-95453-0,10.1007/978-3-319-95453-0,10.1007/978-3-319-95453-0,20.636910999999998
13,10.1037/a0037749,"Böckermann, M, Gieselmann, A, Pietrowsky, R. What does nightmare distress mean? Factorial structure and psychometric properties of the Nightmare Distress Questionnaire (NDQ), Dreaming, 2014, 24, 279, 289, DOI: 10.1037/a0037749",10.1037/a0037749,10.1037/a0037749,10.1037/a0037749,92.32751999999999
14,10.1037/0021-843x.101.3.592,"Belicki, K. Nightmare fequency versus nightmare distress: Relation to psychopathology and cognitive style, J. Abnorm. Psychol, 1992, 101, 592, 597, DOI: 10.1037/0021-843X.101.3.592, PMID: 1500619",10.1037/0021-843x.101.3.592,10.1037/0021-843x.101.3.592,10.1037/0021-843x.101.3.592,63.59035
15,10.1037/h0094355,"Belicki, K. The relationship of nightmare frequency to nightmare suffering with implications for treatment and research, Dreaming, 1992, 2, 143, 148, DOI: 10.1037/h0094355",10.1037/h0094355,10.1037/h0094355,10.1037/h0094355,62.538776
16,10.1037/drm0000039,"Lee, R, Suh, S. Nightmare distress as a mediator between nightmare frequency and suicidal ideation, Dreaming, 2016, 26, 308, 318, DOI: 10.1037/drm0000039",10.1037/drm0000039,10.1037/drm0000039,10.1037/drm0000039,67.8095
17,10.1016/j.paid.2006.03.010,"Roberts, J, Lennings, C.J. Personality, psychopathology and nightmares in young people, Pers. Individ. Differ, 2006, 41, 733, 744, DOI: 10.1016/j.paid.2006.03.010",10.1016/j.paid.2006.03.010,10.1016/j.paid.2006.03.010,10.1016/j.paid.2006.03.010,43.50991
18,10.5935/1984-0063.20190080,"Schredl, M, Göritz, A.S. Nightmare frequency and nightmare distress: Socio-demographic and personality factors, Sleep Sci, 2019, 12, 178, 184, DOI: 10.5935/1984-0063.20190080, PMID: 31890093",10.5935/1984-0063.20190080,10.5935/1984-0063.20190080,10.5935/1984-0063.20190080,49.061809999999994
19,10.1007/s00406-003-0438-1,"Schredl, M. Effects of state and trait factors on nightmare frequency, Eur. Arch. Psychiatry Clin. Neurosci, 2003, 253, 241, 247, DOI: 10.1007/s00406-003-0438-1, PMID: 14504993",10.1007/s00406-003-0438-1,10.1007/s00406-003-0438-1,10.1007/s00406-003-0438-1,51.369614
20,10.1159/000343590,"Swart, M.L, van Schagen, A.M, Lancee, J, van den Bout, J. Prevalence of nightmare disorder in psychiatric outpatients, Psychother. Psychosom, 2013, 82, 267, 268, DOI: 10.1159/000343590, PMID: 23735876",10.1159/000343590,10.1159/000343590,10.1159/000343590,75.025215
21,,"Pack, A.I, Keenan, B.T, Byrne, E.M, Gehrman, P.R. Genetics and genomic basis of sleep disorders in humans, Principles and Practice of Sleep Medicine, 6th ed, Kryger, M, Roth, T, Dement, W.C. Elsevier, Philidelphia, PA, USA, 2017, 322, 339",10.1016/b978-0-323-24288-2.00031-3,10.1016/b978-0-323-24288-2.00031-3,10.1016/b978-0-323-24288-2.00031-3,52.39699
22,10.1037/pspp0000099,"Lipnevich, A.A, Credè, M, Hahn, E, Spinath, F.M, Roberts, R.D, Preckel, F. How distinctive are morningness and eveningness from the Big Five factors of personality? A meta-analytic investigation, J. Pers. Soc. Psychol, 2017, 112, 491, 509, DOI: 10.1037/pspp0000099, PMID: 27977220",10.1037/pspp0000099,10.1037/pspp0000099,10.1037/pspp0000099,80.02717
23,10.1080/07420520902750995,"Tonetti, L, Fabbri, M, Natale, V. Relationship between Circadian Typology and Big Five Personality Domains, Chronobiol. Int, 2009, 26, 337, 347, DOI: 10.1080/07420520902750995, PMID: 19212845",10.1080/07420520902750995,10.1080/07420520902750995,10.1080/07420520902750995,58.76521999999999
24,10.1007/s40675-018-0113-8,"Kivelä, L, Papadopoulos, M.R, Antypa, N. Chronotype and Psychiatric Disorders, Curr. Sleep Med. Rep, 2018, 4, 94, 103, DOI: 10.1007/s40675-018-0113-8, PMID: 29888167",10.1007/s40675-018-0113-8,10.1007/s40675-018-0113-8,10.1007/s40675-018-0113-8,58.320384999999995
25,10.1177/0748730409351677,"Nielsen, T. Nightmares associated with eveningness chronotype, J. Biol. Rhythms, 2010, 25, 53, 62, DOI: 10.1177/0748730409351677, PMID: 20075301",10.1177/0748730409351677,10.1177/0748730409351677,10.1177/0748730409351677,52.646477000000004
26,10.1111/j.1479-8425.2011.00511.x,"Selvi, Y, Aydin, A, Gulec, M, Boysan, M, Besiroglu, L, Ozdemir, P.G, Kilic, S. Comparison of dream anxiety and subjective sleep quality between chronotypes, Sleep Biol. Rhythms, 2012, 10, 14, 22, DOI: 10.1111/j.1479-8425.2011.00511.x",10.1111/j.1479-8425.2011.00511.x,10.1111/j.1479-8425.2011.00511.x,10.1111/j.1479-8425.2011.00511.x,68.73198000000001
27,10.1177/2158244017728321,"Randler, C, Schredl, M, Göritz, A.S. Chronotype, Sleep Behavior, and the Big Five Personality Factors, SAGE Open, 2017, 7, 1, 9, DOI: 10.1177/2158244017728321",10.1177/2158244017728321,10.1177/2158244017728321,10.1177/2158244017728321,61.44433000000001
28,10.1038/nature10190,"Lederbogen, F, Kirsch, P, Haddad, L, Streit, F, Tost, H, Schuch, P, Wust, S, Pruessner, J.C, Rietschel, M, Deuschle, M. City living and urban upbringing affect neural social stress processing in humans, Nature, 2011, 474, 498, 501, DOI: 10.1038/nature10190, PMID: 21697947",10.1038/nature10190,10.1038/nature10190,10.1038/nature10190,77.955956
29,10.1002/mpr.1439,"Jacobi, F, Höfler, M, Siegert, J, Mack, S, Gerschler, A, Scholl, L, Busch, M.A, Hapke, U, Maske, U, Seiffert, I. Twelve-month prevalence, comorbidity and correlates of mental disorders in Germany: The Mental Health Module of the German Health Interview and Examination Survey for Adults (DEGS1-MH), Int. J. Methods Psychiatr. Res, 2014, 23, 304, 319, DOI: 10.1002/mpr.1439, PMID: 24729411",10.1002/mpr.1439,10.1002/mpr.1439,10.1002/mpr.1439,88.8026
31,10.1023/b:drem.0000005912.77493.d6,"Stepansky, R, Holzinger, B, Schmeiser-Rieder, A, Saletu, B, Kunze, M, Zeitlhofer, J. Austrian dream behavior: Results of a representative population survey, Dreaming, 1998, 8, 23, 30, DOI: 10.1023/B:DREM.0000005912.77493.d6",10.1023/b:drem.0000005912.77493.d6,10.1023/b:drem.0000005912.77493.d6,10.1023/b:drem.0000005912.77493.d6,78.64264
32,10.1007/s00406-010-0112-3,"Schredl, M. Nightmare frequency and nightmare topics in a representative German sample, Eur. Arch. Psychiatry Clin. Neurosci, 2010, 260, 565, 570, DOI: 10.1007/s00406-010-0112-3, PMID: 20229263",10.1007/s00406-010-0112-3,10.1007/s00406-010-0112-3,10.1007/s00406-010-0112-3,72.9109
33,10.1111/jsr.12416,"Sandman, N, Merikanto, I, Määttänen, H, Valli, K, Kronholm, E, Laatikainen, T, Partonen, T, Paunio, T. Winter is coming: Nightmares and sleep problems during seasonal affective disorder, J. Sleep Res, 2016, 25, 612, 619, DOI: 10.1111/jsr.12416, PMID: 27174375",10.1111/jsr.12416,10.1111/jsr.12416,10.1111/jsr.12416,88.80891
34,10.2466/pms.106.3.699-702,"Schredl, M. Dream recall frequency in a representative German sample, Percept. Mot. Skills, 2008, 106, 699, 702, DOI: 10.2466/pms.106.3.699-702, PMID: 18712190",10.2466/pms.106.3.699-702,10.2466/pms.106.3.699-702,10.2466/pms.106.3.699-702,70.03737
35,10.2466/pms.108.3.677-680,"Schredl, M. Recall frequency of positive and negative dreams in a representative German sample, Percept. Mot. Skills, 2009, 108, 677, 680, DOI: 10.2466/pms.108.3.677-680, PMID: 19725304",10.2466/pms.108.3.677-680,10.2466/pms.108.3.677-680,10.2466/pms.108.3.677-680,72.59295999999999
37,10.1111/j.1365-2869.2004.00394.x,"Blagrove, M, Farmer, L, Williams, E. The relationship of nightmare frequency and nightmare distress to well-being, J. Sleep Res, 2004, 13, 129, 136, DOI: 10.1111/j.1365-2869.2004.00394.x, PMID: 15175092",10.1111/j.1365-2869.2004.00394.x,10.1111/j.1365-2869.2004.00394.x,10.1111/j.1365-2869.2004.00394.x,61.301880000000004
39,10.3390/biology8030054,"Roenneberg, T, Pilz, L.K, Zerbini, G, Winnebeck, E.C. Chronotype and Social Jetlag: A (Self-) Critical Review, Biology, 2019, 8, 54, DOI: 10.3390/biology8030054",10.20944/preprints201905.0092.v1,10.3390/biology8030054,10.3390/biology8030054,49.393715
40,10.1046/j.1439-054x.2001.01149.x,"Griefahn, B, Künemund, C, Bröde, P, Mehnert, P. Zur Validität der deutschen Übersetzung des Morningness-Eveningness-Questionnaires von Horne und Östberg, Somnology, 2001, 5, 71, 80, DOI: 10.1046/j.1439-054X.2001.01149.x",10.1046/j.1439-054x.2001.01149.x,10.1046/j.1439-054x.2001.01149.x,10.1046/j.1439-054x.2001.01149.x,54.627069999999996
41,10.3109/07420528.2011.635232,"Vollmer, C, Michel, U, Randler, C. Outdoor Light at Night (LAN) Is Correlated With Eveningness in Adolescents, Chronobiol. Int, 2012, 29, 502, 508, DOI: 10.3109/07420528.2011.635232, PMID: 22214237",10.3109/07420528.2011.635232,10.3109/07420528.2011.635232,10.3109/07420528.2011.635232,54.083893
42,10.1016/j.cub.2013.06.039,"Wright, K.P, McHill, A.W, Birks, B.R, Griffin, B.R, Rusterholz, T, Chinoy, E.D. Entrainment of the Human Circadian Clock to the Natural Light-Dark Cycle, Curr. Biol, 2013, 23, 1554, 1558, DOI: 10.1016/j.cub.2013.06.039, PMID: 23910656",10.1016/j.cub.2013.06.039,10.1016/j.cub.2013.06.039,10.1016/j.cub.2013.06.039,65.00618
43,10.1037/0021-843x.99.1.64,"Wood, J.M, Bootzin, R.R. The prevalence of nightmares and their independence from anxiety, J. Abnorm. Psychol, 1990, 99, 64, 68, DOI: 10.1037/0021-843X.99.1.64, PMID: 2307768",10.1037/0021-843x.99.1.64,10.1037/0021-843x.99.1.64,10.1037/0021-843x.99.1.64,52.655437
44,10.1037/0021-843x.109.2.273,"Zadra, A.L, Donderi, D.C. Nightmares and bad dreams: Their prevalence and relationship to well-being, J. Abnorm. Psychol, 2000, 109, 273, 281, DOI: 10.1037/0021-843X.109.2.273, PMID: 10895565",10.1037/0021-843x.109.2.273,10.1037/0021-843x.109.2.273,10.1037/0021-843x.109.2.273,65.25007
45,10.1111/j.1365-2869.2008.00649.x,"Robert, G, Zadra, A.L. Measuring nightmare and bad dream frequency: Impact of retrosepective and prospective instruments, J. Sleep Res, 2008, 17, 132, 139, DOI: 10.1111/j.1365-2869.2008.00649.x, PMID: 18482103",10.1111/j.1365-2869.2008.00649.x,10.1111/j.1365-2869.2008.00649.x,10.1111/j.1365-2869.2008.00649.x,54.313083999999996
47,10.1093/sleep/zsaa116,"Vallat, R, Nicolas, A, Ruby, P. Brain functional connectivity upon awakening from sleep predicts inter-individual differences in dream recall frequency, Sleep, 2020, zsaa116, DOI: 10.1093/sleep/zsaa116, PMID: 32597973",10.1093/sleep/zsaa116,10.1093/sleep/zsaa116,10.1093/sleep/zsaa116,80.6351
49,10.2466/pms.98.3.1422-1426,"Schredl, M. Reliability and stability of a dream recall frequency scale, Percept. Mot. Skills, 2004, 98, 1422, 1426, DOI: 10.2466/PMS.98.3.1422-1426, PMID: 15291233",10.2466/pms.98.3c.1422-1426,10.2466/pms.98.3c.1422-1426,10.2466/pms.98.3c.1422-1426,70.82637
