bibref
"Mendoza, L, Vilela, R, Voelz, K, Ibrahim, AS, Voigt, K, Lee, SC. Human fungal pathogens of mucorales and entomophthorales, Cold Spring Harb Perspect Med, 2015, 5, pii: a019562 doi: 10.1101/cshperspect.a019562"
"Prabhu, RM, and Patel, R. Mucormycosis and entomophthoramycosis: A review of the clinical manifestations, diagnosis and treatment, Clin Microbiol Infect, 2004, 10, 31, 47, PMID: 14748801"
"Ramesh, A, Deka, RC, Vijayaraghavan, M, Ray, R, Kabra, SK, Rakesh, K. Entomophthoromycosis of the nose and paranasal sinus, Indian J Pediatr, 2000, 67, 307, 10, PMID: 10878876"
"Michael, RC, Michael, JS, Mathews, MS, Rupa, V. Unusual presentation of entomophthoromycosis, Indian J Med Microbiol, 2009, 27, 156, 8, PMID: 19384042"
"Bittencourt, AL, Marback, R, Nossa, LMB. Mucocutaneous entomoptharomycosis acquired by conjunctival inoculation of the fungus, Am J Trop Med Hyg, 2006, 75, 936, 8, PMID: 17123991"
"Spellberg, B, Edwards, J, Jr, Ibrahim, A. Novel perspectives on mucormycosis: Pathophysiology, presentation, and management, Clin Microbiol Rev, 2005, 18, 556, 69, PMID: 16020690"
"Blumentrath, CG, Grobusch, MP, Matsiégui, PB, Pahlke, F, Zoleko-Manego, R, Nzenze-Aféne, S. Classification of rhinoentomophthoromycosis into atypical, early, intermediate, and late disease: A proposal, PLoS Negl Trop Dis, 2015, 9, e0003984, PMID: 26426120"
"Gugnani, HC. Entomophthoromycosis due to conidiobolus, Eur J Epidemiol, 1992, 8, 391, 6, PMID: 1397203"
"Foss, NT, Rocha, MR, Lima, VT, Velludo, MA, Roselino, AM. Entomophthoramycosis: Therapeutic success by using amphotericin B and terbinafine, Dermatology, 1996, 193, 258, 60, PMID: 8944354"
"Chowdary, A, Randhawa, HS, Khan, ZU, Ahmad, S, Khanna, G, Gupta, R. Rhinoentomophthoromycosis due to, Conidiobolus coronatus. A case report and an overview of the disease in India, Med Mycol, 2010, 48, 870, 9, PMID: 20482451"
"Gupta, A, Kumar, SB, Negi, AS. Current status on development of steroids as anticancer agents. J Steroid Biochem Mol Biol 2013; 137: 242–70. PMID: 23727548"
"Butenandt, A, Wolff, A, Karlson, P. Über Lumi-oestron. Chem Ber 1941; 74: 1308–12."
"Yaremenko, FG, Khvat, AV. A new one-pot synthesis of 17-oxo-13α-steroids of the androstane series from their 13β-analogues. Mendeleev Commun 1994; 187: 187–8."
"Ayan, D, Roy, J, Maltais, R, Poirier, D. Impact of estradiol structural modifications (18-methyl and/or 17-hydroxy inversion of configuration) on the in vitro and in vivo estrogenic activity. J Steroid Biochem Mol Biol 2011; 127: 324–30. PMID: 21827856"
"Schönecker, B, Lange, C, Kötteritzsch, M, et al. Conformational design for 13α-steroids. J Org Chem 2000; 65: 5487–97. PMID: 10970286"
"Kaur, R, Kaur, G, Kaur Gill, R, et al. Recent developments in tubulin polymerization inhibitors: an overview. Eur J Med Chem 2014; 87: 89–124. PMID: 25240869"
"Steinmetz, MO, Prota, AE. Microtubule-targeting agents: strategies to hijack the cytoskeleton. Trends Cell Biol 2018; 28: 776–92. PMID: 29871823"
"Naaz, F, Haider, MR, Shafi, S, Yar, MS. Anti-tubulin agents of natural origin: targeting taxol, vinca, and colchicine binding domains. Eur J Med Chem 2019; 171: 310–31. PMID: 30953881"
"Cao, YN, Zheng, LL, Wang, D, et al. Recent advances in microtubule-stabilizing agents. Eur J Med Chem 2018; 143: 806–28. PMID: 29223097"
"Field, JJ, Díaz, JF, Miller, JH. The binding sites of microtubule-stabilizing agents. Chem Biol 2013; 20: 301–15. PMID: 23521789"
"Li, W, Sun, H, Xu, S, et al. Tubulin inhibitors targeting the colchicine binding site: a perspective of privileged structures. Future Med Chem 2017; 9: 1765–94. PMID: 28929799"
"Beale, TM, Allwood, DM, Bender, A, et al. A-ring dihalogenation increases the cellular activity of combretastatin templated tetrazoles. ACS Med Chem Lett 2012; 3: 177–81. PMID: 24900453"
"Liang, L, Astruc, D. The copper(I)-catalyzed alkyne-azide cycloaddition (CuAAC) “click” reaction and its applications. An overview. Coord Chem Rev 2011; 255: 2933–45."
"Szabó, J, Jerkovics, N, Schneider, G, et al. Synthesis and in vitro antiproliferative evaluation of C-13 epimers of triazolyl-d-secoestrone alcohols: the first potent 13α-d-secoestrone derivative. Molecules 2016; 21: 611–24."
"Bózsity, N, Minorics, R, Szabó, J, et al. Mechanism of antiproliferative action of a new d-secoestrone-triazole derivative in cervical cancer cells and its effect on cancer cell motility. J Steroid Biochem Mol Biol 2017; 165: 247–57. PMID: 27363663"
"Szabó, J, Pataki, Z, Wölfling, J, et al. Synthesis and biological evaluation of 13α-estrone derivatives as potential antiproliferative agents. Steroids 2016; 113: 14–21. PMID: 27263437"
"Bacsa, I, Herman, BE, Jójárt, R, et al. Synthesis and structure-activity relationships of 2-and/or 4-halogenated 13β-and 13α-estrone derivatives as enzyme inhibitors of estrogen biosynthesis. J Enzyme Inhib Med Chem 2018; 33: 1271–82. PMID: 30230387"
"Jójárt, R, Pécsy, S, Keglevich, G, et al. Pd-catalyzed microwave-assisted synthesis of phosphonated 13α-estrones as potential OATP2B1, 17β-HSD1 and/or STS inhibitors. Beilstein J Org Chem 2018; 14: 2838–45. PMID: 30498534"
"Hirao, T, Masunaga, T, Ohshiro, Y, Agawa, T. Stereoselective synthesis of vinylphosphonate. Tetrahedron Lett 1980; 21: 3595–8."
"Keglevich, G, Jablonkai, E, László, BB. A “green” variation of the Hirao reaction: the P-C coupling of diethyl phosphite, alkyl phenyl-H-phosphinates and secondary phosphine oxides with bromoarenes using a P-ligand-free Pd(OAc) 2 catalyst under micro-wave and solvent-free conditions. RSC Adv 2014; 4: 22808–16."
"Dziuganowska, ZA, Ślepokura, K, Volle, JN, et al. Structural analogues of Selfotel (CGS-19755). J Org Chem 2016; 81: 4947–54. PMID: 27187758"
"Keglevich, G, Henyecz, R, Mucsi, Z, Kiss, NZ. The palladium acetate-catalyzed microwave-assisted Hirao reaction without an added phosphorus ligand as a “green” protocol: a quantum chemical study on the mechanism. Adv Synth Catal 2017; 359: 4322–31. PMID: 29399016"
"Matsumoto, J, Ariyoshi, N, Sakakibara, M, et al. Organic anion transporting polypeptide 2B1 expression correlates with uptake of estrone-3-sulfate and cell proliferation in estrogen receptor-positive breast cancer cells. Drug Metab Pharmacokinet 2015; 30: 133–41. PMID: 25857231"
"Banerjee, N, Allen, C, Bendayan, R. Differential role of organic anion-transporting polypeptides in estrone-3-sulphate uptake by breast epithelial cells and breast cancer cells. J Pharmacol Exp Ther 2012; 342: 510–09. PMID: 22588260"
